,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Andhra Pradesh,ANANTAPUR,41,0.85,53.78,2,5%,7,17%,12,29%,16,39%,3,7%,1,2%
1,Andhra Pradesh,CHITTOOR,45,2.05,18.70,0,0%,8,18%,18,40%,19,42%,0,0%,0,0%
2,Andhra Pradesh,CUDDAPAH,31,2.55,60.00,0,0%,2,6%,13,42%,12,39%,1,3%,3,10%
3,Andhra Pradesh,EAST GODAVARI,87,0.45,11.40,14,16%,44,51%,26,30%,3,3%,0,0%,0,0%
4,Andhra Pradesh,GUNTUR,92,0.31,39.50,10,11%,42,46%,28,30%,11,12%,1,1%,0,0%
5,Andhra Pradesh,KRISHNA,67,0.94,23.80,8,12%,33,49%,18,27%,7,10%,1,1%,0,0%
6,Andhra Pradesh,KURNOOL,43,0.55,35.93,3,7%,7,16%,22,51%,10,23%,1,2%,0,0%
7,Andhra Pradesh,NELLORE,57,0.64,17.00,2,4%,16,28%,27,47%,12,21%,0,0%,0,0%
8,Andhra Pradesh,PRAKASAM,58,1.29,48.36,1,2%,18,31%,22,38%,14,24%,2,3%,1,2%
9,Andhra Pradesh,SRIKAKULAM,43,1.70,9.80,5,12%,26,60%,12,28%,0,0%,0,0%,0,0%
10,Andhra Pradesh,VISAKHAPATNAM,60,0.80,30.10,2,3%,23,38%,27,45%,7,12%,1,2%,0,0%
11,Andhra Pradesh,VIZIANAGARAM,47,2.11,12.15,0,0%,13,28%,31,66%,3,6%,0,0%,0,0%
12,Andhra Pradesh,WEST GODAVARI,50,1.05,17.50,7,14%,27,54%,12,24%,4,8%,0,0%,0,0%
