,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Assam,Baksa,1,3.60,3.60,0,0%,1,100%,0,0%,0,0%,0,0%,0,0%
1,Assam,Barpeta,5,1.78,4.12,1,20%,4,80%,0,0%,0,0%,0,0%,0,0%
2,Assam,Biswanath,11,1.15,9.34,2,18%,5,45%,4,36%,0,0%,0,0%,0,0%
3,Assam,Bongaigaon,9,1.66,5.10,1,11%,7,78%,1,11%,0,0%,0,0%,0,0%
4,Assam,Cachar,20,0.27,7.02,8,40%,9,45%,3,15%,0,0%,0,0%,0,0%
5,Assam,Chirang,1,3.00,3.00,0,0%,1,100%,0,0%,0,0%,0,0%,0,0%
6,Assam,Darrang,2,2.81,3.87,0,0%,2,100%,0,0%,0,0%,0,0%,0,0%
7,Assam,Dhemaji,11,0.92,9.69,2,18%,7,64%,2,18%,0,0%,0,0%,0,0%
8,Assam,Dhubri,9,3.30,17.39,0,0%,5,56%,1,11%,3,33%,0,0%,0,0%
9,Assam,Dibrugarh,5,3.84,5.42,0,0%,4,80%,1,20%,0,0%,0,0%,0,0%
10,Assam,Goalpara,13,3.86,5.51,0,0%,8,62%,5,38%,0,0%,0,0%,0,0%
11,Assam,Golaghat,3,0.92,8.93,0,0%,2,67%,1,33%,0,0%,0,0%,0,0%
12,Assam,Hailakandi,7,0.30,2.26,3,43%,3,43%,1,14%,0,0%,0,0%,0,0%
13,Assam,Jorhat,5,1.90,5.32,3,60%,2,40%,0,0%,0,0%,0,0%,0,0%
14,Assam,Kamrup,12,2.42,4.20,2,17%,6,50%,4,33%,0,0%,0,0%,0,0%
15,Assam,Kamrup Metro,7,1.10,14.70,0,0%,7,100%,0,0%,0,0%,0,0%,0,0%
16,Assam,Karbi Anglong,22,0.29,2.65,2,9%,12,55%,4,18%,4,18%,0,0%,0,0%
17,Assam,Karimganj,9,3.80,5.25,7,78%,2,22%,0,0%,0,0%,0,0%,0,0%
18,Assam,Kokrajhar,2,0.66,5.71,0,0%,1,50%,1,50%,0,0%,0,0%,0,0%
19,Assam,Lakhimpur,19,3.00,7.10,5,26%,13,68%,1,5%,0,0%,0,0%,0,0%
20,Assam,Morigaon,11,2.43,11.23,0,0%,8,73%,3,27%,0,0%,0,0%,0,0%
21,Assam,Nagaon,20,1.52,4.83,0,0%,10,50%,9,45%,1,5%,0,0%,0,0%
22,Assam,Nalbari,3,0.60,7.80,1,33%,2,67%,0,0%,0,0%,0,0%,0,0%
23,Assam,Sibsagar,4,1.94,7.19,2,50%,1,25%,1,25%,0,0%,0,0%,0,0%
24,Assam,Sonitpur,12,0.41,5.93,1,8%,9,75%,2,17%,0,0%,0,0%,0,0%
25,Assam,Tinsukia,8,0.14,4.90,1,13%,5,63%,2,25%,0,0%,0,0%,0,0%
26,Assam,Udalguri,6,0.14,17.39,1,17%,5,83%,0,0%,0,0%,0,0%,0,0%
