,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Bihar,ARARIA,8,2.26,4.62,0,0%,8,100%,0,0%,0,0%,0,0%,0,0%
1,Bihar,AURANGABAD,10,3.58,11.00,0,0%,1,10%,8,80%,1,10%,0,0%,0,0%
2,Bihar,BANKA,15,3.42,11.18,0,0%,4,27%,9,60%,2,13%,0,0%,0,0%
3,Bihar,BEGUSARAI,24,2.10,12.00,0,0%,1,4%,22,92%,1,4%,0,0%,0,0%
4,Bihar,BHAGALPUR,14,2.86,14.56,0,0%,3,21%,8,57%,3,21%,0,0%,0,0%
5,Bihar,BHOJPUR,36,3.37,10.88,0,0%,3,8%,31,86%,2,6%,0,0%,0,0%
6,Bihar,BUXAR,24,2.00,16.11,1,4%,3,13%,15,63%,5,21%,0,0%,0,0%
7,Bihar,DARBHANGA,8,2.47,7.04,0,0%,3,38%,5,63%,0,0%,0,0%,0,0%
8,Bihar,GAYA,14,4.30,8.54,0,0%,2,14%,12,86%,0,0%,0,0%,0,0%
9,Bihar,GOPALGANJ,18,3.06,15.00,0,0%,8,44%,9,50%,1,6%,0,0%,0,0%
10,Bihar,JAMUI,15,3.96,15.07,0,0%,2,13%,7,47%,6,40%,0,0%,0,0%
11,Bihar,JEHANABAD,9,3.46,10.40,0,0%,4,44%,4,44%,1,11%,0,0%,0,0%
12,Bihar,KAIMUR,10,5.30,13.55,0,0%,0,0%,6,60%,4,40%,0,0%,0,0%
13,Bihar,KATIHAR,15,2.30,5.78,0,0%,14,93%,1,7%,0,0%,0,0%,0,0%
14,Bihar,KHAGARIA,15,2.65,8.02,0,0%,2,13%,13,87%,0,0%,0,0%,0,0%
15,Bihar,KISHANGANJ,8,1.65,9.19,2,25%,5,63%,1,13%,0,0%,0,0%,0,0%
16,Bihar,LAKHISARAI,8,1.26,10.38,1,13%,1,13%,5,63%,1,13%,0,0%,0,0%
17,Bihar,MADHEPURA,17,2.96,6.12,0,0%,13,76%,4,24%,0,0%,0,0%,0,0%
18,Bihar,MADHUBANI,24,1.53,8.27,2,8%,16,67%,6,25%,0,0%,0,0%,0,0%
19,Bihar,MUNGER,10,4.60,11.74,0,0%,2,20%,7,70%,1,10%,0,0%,0,0%
20,Bihar,MUZAFFARPUR,24,3.15,9.00,0,0%,3,13%,21,88%,0,0%,0,0%,0,0%
21,Bihar,NALANDA,33,2.47,12.75,0,0%,11,33%,19,58%,3,9%,0,0%,0,0%
22,Bihar,NAWADA,15,2.18,11.00,0,0%,3,20%,11,73%,1,7%,0,0%,0,0%
23,Bihar,PASHCHIM CHAMPARAN,14,2.25,7.94,0,0%,11,79%,3,21%,0,0%,0,0%,0,0%
24,Bihar,PATNA,30,1.80,11.47,1,3%,9,30%,16,53%,4,13%,0,0%,0,0%
25,Bihar,PURBA CHAMPARAN,29,0.74,8.92,1,3%,15,52%,13,45%,0,0%,0,0%,0,0%
26,Bihar,PURNIA,19,2.24,5.58,0,0%,16,84%,3,16%,0,0%,0,0%,0,0%
27,Bihar,ROHTAS,16,4.68,14.20,0,0%,1,6%,9,56%,6,38%,0,0%,0,0%
28,Bihar,SAHARSA,17,2.49,9.00,0,0%,15,88%,2,12%,0,0%,0,0%,0,0%
29,Bihar,SAMASTIPUR,20,4.96,11.10,0,0%,1,5%,17,85%,2,10%,0,0%,0,0%
30,Bihar,SARAN,23,2.30,11.91,0,0%,2,9%,18,78%,3,13%,0,0%,0,0%
31,Bihar,SEIKHPURA,7,6.50,10.50,0,0%,0,0%,6,86%,1,14%,0,0%,0,0%
32,Bihar,SHEOHAR,4,3.26,9.00,0,0%,1,25%,3,75%,0,0%,0,0%,0,0%
33,Bihar,SITAMARHI,15,2.37,10.00,0,0%,11,73%,4,27%,0,0%,0,0%,0,0%
34,Bihar,SIWAN,15,4.70,9.00,0,0%,1,7%,14,93%,0,0%,0,0%,0,0%
35,Bihar,SUPAUL,22,1.85,10.00,2,9%,19,86%,1,5%,0,0%,0,0%,0,0%
36,Bihar,VAISHALI,16,4.62,10.00,0,0%,1,6%,15,94%,0,0%,0,0%,0,0%
