,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Chhattisgarh,BASTAR,24,1.95,15.10,1,4%,8,33%,10,42%,5,21%,0,0%,0,0%
1,Chhattisgarh,BILASPUR,100,2.52,40.00,0,0%,16,16%,54,54%,26,26%,4,4%,0,0%
2,Chhattisgarh,DHAMTARI,29,0.92,11.35,1,3%,10,34%,17,59%,1,3%,0,0%,0,0%
3,Chhattisgarh,DURG,72,1.67,24.30,1,1%,16,22%,39,54%,16,22%,0,0%,0,0%
4,Chhattisgarh,JANJGIR - CHAMPA,52,1.97,25.36,1,2%,17,33%,20,38%,12,23%,2,4%,0,0%
5,Chhattisgarh,JASHPUR,37,3.25,13.64,0,0%,5,14%,29,78%,3,8%,0,0%,0,0%
6,Chhattisgarh,KANKER,6,1.50,9.50,1,17%,1,17%,4,67%,0,0%,0,0%,0,0%
7,Chhattisgarh,KAWARDHA,13,5.00,19.64,0,0%,1,8%,11,85%,1,8%,0,0%,0,0%
8,Chhattisgarh,KORBA,54,3.66,14.46,0,0%,5,9%,40,74%,9,17%,0,0%,0,0%
9,Chhattisgarh,KORIYA,32,2.00,15.20,1,3%,3,9%,20,63%,8,25%,0,0%,0,0%
10,Chhattisgarh,MAHASAMUND,22,1.27,14.00,0,0%,5,23%,14,64%,3,14%,0,0%,0,0%
11,Chhattisgarh,RAIGARH,48,0.60,36.70,1,2%,12,25%,27,56%,7,15%,1,2%,0,0%
12,Chhattisgarh,RAIPUR,55,2.22,18.54,0,0%,17,31%,35,64%,3,5%,0,0%,0,0%
13,Chhattisgarh,RAJNANDGAON,36,2.63,18.35,0,0%,5,14%,26,72%,5,14%,0,0%,0,0%
14,Chhattisgarh,SURGUJA,70,3.16,16.46,0,0%,5,7%,55,79%,10,14%,0,0%,0,0%
