,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Gujarat,Ahmedabad,21,2.25,27.55,0,0%,8,38%,5,24%,6,29%,2,10%,0,0%
1,Gujarat,Amreli,42,0.55,50.65,1,2%,3,7%,10,24%,15,36%,11,26%,2,5%
2,Gujarat,Anand,13,1.65,28.60,1,8%,3,23%,6,46%,1,8%,2,15%,0,0%
3,Gujarat,Banaskantha,20,2.62,59.91,0,0%,1,5%,3,15%,7,35%,8,40%,1,5%
4,Gujarat,Bharuch,28,0.95,11.15,1,4%,9,32%,15,54%,3,11%,0,0%,0,0%
5,Gujarat,Bhavnagar,31,3.65,30.78,0,0%,4,13%,9,29%,12,39%,6,19%,0,0%
6,Gujarat,Dohad,26,1.80,15.46,1,4%,2,8%,14,54%,9,35%,0,0%,0,0%
7,Gujarat,Gandhinagar,5,14.33,36.44,0,0%,0,0%,0,0%,3,60%,2,40%,0,0%
8,Gujarat,Jamnagar,49,3.56,22.12,0,0%,4,8%,17,35%,23,47%,5,10%,0,0%
9,Gujarat,Junagadh,61,3.40,33.76,0,0%,2,3%,15,25%,34,56%,10,16%,0,0%
10,Gujarat,Kachchh,32,0.88,39.35,2,6%,2,6%,6,19%,20,63%,2,6%,0,0%
11,Gujarat,Kheda,14,3.24,26.96,0,0%,4,29%,7,50%,2,14%,1,7%,0,0%
12,Gujarat,Mahesana,26,2.50,37.30,0,0%,8,31%,6,23%,9,35%,3,12%,0,0%
13,Gujarat,Narmada,14,2.26,32.01,0,0%,2,14%,8,57%,2,14%,2,14%,0,0%
14,Gujarat,Navsari,15,3.40,13.40,0,0%,6,40%,5,33%,4,27%,0,0%,0,0%
15,Gujarat,Panchmahals,34,1.92,32.03,1,3%,3,9%,14,41%,12,35%,4,12%,0,0%
16,Gujarat,Patan,6,4.64,21.62,0,0%,1,17%,1,17%,2,33%,2,33%,0,0%
17,Gujarat,Porbandar,30,2.93,34.20,0,0%,6,20%,7,23%,10,33%,7,23%,0,0%
18,Gujarat,Rajkot,49,3.25,29.50,0,0%,5,10%,24,49%,15,31%,5,10%,0,0%
19,Gujarat,Sabarkantha,45,4.92,55.20,0,0%,1,2%,11,24%,18,40%,12,27%,3,7%
20,Gujarat,Surat,31,2.54,18.70,0,0%,10,32%,10,32%,11,35%,0,0%,0,0%
21,Gujarat,Surendranagar,34,-0.30,29.15,2,6%,13,38%,10,29%,7,21%,2,6%,0,0%
22,Gujarat,The dangs,21,2.70,13.55,0,0%,6,29%,11,52%,4,19%,0,0%,0,0%
23,Gujarat,Vadodara,36,3.05,37.90,0,0%,4,11%,17,47%,10,28%,5,14%,0,0%
24,Gujarat,Valsad,16,3.30,23.20,0,0%,3,19%,8,50%,4,25%,1,6%,0,0%
