,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Haryana,AMBALA,5,2.28,65.34,0,0%,3,60%,1,20%,0,0%,0,0%,1,20%
1,Haryana,BHIWANI,32,1.15,87.11,2,6%,10,31%,5,16%,9,28%,5,16%,1,3%
2,Haryana,FARIDABAD,4,6.48,38.71,0,0%,0,0%,1,25%,0,0%,3,75%,0,0%
3,Haryana,FATEHABAD,7,4.18,50.01,0,0%,2,29%,4,57%,0,0%,0,0%,1,14%
4,Haryana,GURGAON,10,9.04,60.20,0,0%,0,0%,1,10%,2,20%,5,50%,2,20%
5,Haryana,HISAR,31,1.89,21.51,1,3%,11,35%,10,32%,8,26%,1,3%,0,0%
6,Haryana,JHAJJAR,10,1.31,5.10,5,50%,4,40%,1,10%,0,0%,0,0%,0,0%
7,Haryana,JIND,20,3.40,40.61,0,0%,3,15%,5,25%,6,30%,5,25%,1,5%
8,Haryana,KAITHAL,16,3.98,43.80,0,0%,1,6%,3,19%,2,13%,8,50%,2,13%
9,Haryana,KARNAL,19,5.90,34.32,0,0%,0,0%,4,21%,4,21%,11,58%,0,0%
10,Haryana,KURUKSHETRA,9,22.55,41.83,0,0%,0,0%,0,0%,0,0%,8,89%,1,11%
11,Haryana,MAHENDRAGARH,2,7.60,14.65,0,0%,0,0%,1,50%,1,50%,0,0%,0,0%
12,Haryana,MEWAT,7,0.48,7.21,1,14%,5,71%,1,14%,0,0%,0,0%,0,0%
13,Haryana,PALWAL,14,2.10,22.61,0,0%,3,21%,3,21%,7,50%,1,7%,0,0%
14,Haryana,PANCHKULA,14,1.26,29.36,1,7%,3,21%,3,21%,6,43%,1,7%,0,0%
15,Haryana,PANIPAT,13,2.61,33.62,0,0%,2,15%,4,31%,4,31%,3,23%,0,0%
16,Haryana,REWARI,5,12.44,72.73,0,0%,0,0%,0,0%,3,60%,1,20%,1,20%
17,Haryana,ROHTAK,5,2.68,13.01,0,0%,3,60%,1,20%,1,20%,0,0%,0,0%
18,Haryana,SIRSA,28,2.04,48.72,0,0%,2,7%,8,29%,15,54%,1,4%,2,7%
19,Haryana,SONIPAT,22,2.46,34.35,0,0%,11,50%,5,23%,3,14%,3,14%,0,0%
20,Haryana,YAMUNANAGAR,15,1.79,34.71,1,7%,1,7%,6,40%,4,27%,3,20%,0,0%
