,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Jharkhand,BOKARO,13,2.89,12.65,0,0%,3,23%,6,46%,4,31%,0,0%,0,0%
1,Jharkhand,CHATRA,8,5.10,15.75,0,0%,0,0%,3,38%,5,63%,0,0%,0,0%
2,Jharkhand,DEOGHAR,8,7.30,11.30,0,0%,0,0%,7,88%,1,13%,0,0%,0,0%
3,Jharkhand,DHANBAD,10,2.20,14.40,0,0%,4,40%,5,50%,1,10%,0,0%,0,0%
4,Jharkhand,DUMKA,21,2.95,11.00,0,0%,2,10%,16,76%,3,14%,0,0%,0,0%
5,Jharkhand,GARHWA,7,6.90,11.10,0,0%,0,0%,6,86%,1,14%,0,0%,0,0%
6,Jharkhand,GIRIDIH,17,5.15,13.03,0,0%,0,0%,11,65%,6,35%,0,0%,0,0%
7,Jharkhand,GODDA,10,4.85,13.24,0,0%,2,20%,7,70%,1,10%,0,0%,0,0%
8,Jharkhand,GUMLA,20,2.10,10.65,0,0%,4,20%,15,75%,1,5%,0,0%,0,0%
9,Jharkhand,HAZARIBAG,24,3.57,16.25,0,0%,1,4%,17,71%,6,25%,0,0%,0,0%
10,Jharkhand,KODARMA,5,5.05,12.50,0,0%,0,0%,3,60%,2,40%,0,0%,0,0%
11,Jharkhand,LOHARDAGA,11,6.50,12.70,0,0%,0,0%,10,91%,1,9%,0,0%,0,0%
12,Jharkhand,PAKAUR,8,2.19,13.15,0,0%,4,50%,3,38%,1,13%,0,0%,0,0%
13,Jharkhand,PALAMU,24,5.85,15.00,0,0%,0,0%,11,46%,13,54%,0,0%,0,0%
14,Jharkhand,PASHCHIMI SINGHBHUM,23,-0.50,13.90,2,9%,3,13%,14,61%,4,17%,0,0%,0,0%
15,Jharkhand,PURBI SINGHBHUM,8,1.80,15.61,1,13%,1,13%,3,38%,3,38%,0,0%,0,0%
16,Jharkhand,RANCHI,45,1.70,12.80,1,2%,8,18%,31,69%,5,11%,0,0%,0,0%
17,Jharkhand,SAHIBGANJ,16,1.70,12.00,1,6%,3,19%,11,69%,1,6%,0,0%,0,0%
