,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Karnataka,Bagalkot,20,3.20,20.50,0,0%,4,20%,9,45%,6,30%,1,5%,0,0%
1,Karnataka,Bangalore Rural,35,2.95,17.80,0,0%,10,29%,17,49%,8,23%,0,0%,0,0%
2,Karnataka,Bangalore Urban,22,1.49,10.75,2,9%,13,59%,6,27%,1,5%,0,0%,0,0%
3,Karnataka,Belgaum,65,1.60,18.00,2,3%,12,18%,31,48%,20,31%,0,0%,0,0%
4,Karnataka,Bellary,21,3.30,14.50,0,0%,8,38%,9,43%,4,19%,0,0%,0,0%
5,Karnataka,Bidar,18,3.65,20.30,0,0%,4,22%,7,39%,6,33%,1,6%,0,0%
6,Karnataka,Bijapur,49,2.40,17.00,0,0%,5,10%,33,67%,11,22%,0,0%,0,0%
7,Karnataka,Chamarajanagar,12,2.85,9.92,0,0%,7,58%,5,42%,0,0%,0,0%,0,0%
8,Karnataka,Chikmagalur,65,1.64,19.97,2,3%,12,18%,33,51%,18,28%,0,0%,0,0%
9,Karnataka,Chitradurga,15,3.32,19.00,0,0%,4,27%,5,33%,6,40%,0,0%,0,0%
10,Karnataka,Dakshin Kannada,86,2.60,16.70,0,0%,12,14%,47,55%,27,31%,0,0%,0,0%
11,Karnataka,Davanagere,39,1.60,16.40,5,13%,18,46%,11,28%,5,13%,0,0%,0,0%
12,Karnataka,Dharwad,21,3.00,27.30,0,0%,2,10%,13,62%,4,19%,2,10%,0,0%
13,Karnataka,Gadag,14,1.44,19.50,1,7%,1,7%,9,64%,3,21%,0,0%,0,0%
14,Karnataka,Gulbarga,53,3.90,17.45,0,0%,10,19%,27,51%,16,30%,0,0%,0,0%
15,Karnataka,Hassan,61,1.60,18.45,3,5%,13,21%,22,36%,23,38%,0,0%,0,0%
16,Karnataka,Haveri,15,2.00,13.80,1,7%,1,7%,8,53%,5,33%,0,0%,0,0%
17,Karnataka,Kodagu,59,2.24,19.35,0,0%,8,14%,23,39%,28,47%,0,0%,0,0%
18,Karnataka,Kolar,31,1.40,13.66,2,6%,11,35%,16,52%,2,6%,0,0%,0,0%
19,Karnataka,Koppal,20,2.80,20.15,0,0%,6,30%,7,35%,6,30%,1,5%,0,0%
20,Karnataka,Mandya,44,1.20,11.54,6,14%,19,43%,17,39%,2,5%,0,0%,0,0%
21,Karnataka,Mysore,44,1.15,14.65,2,5%,15,34%,22,50%,5,11%,0,0%,0,0%
22,Karnataka,Raichur,43,1.92,13.10,2,5%,11,26%,24,56%,6,14%,0,0%,0,0%
23,Karnataka,Shimoga,71,1.30,18.05,4,6%,11,15%,21,30%,35,49%,0,0%,0,0%
24,Karnataka,Tumkur,50,2.45,22.00,0,0%,6,12%,23,46%,20,40%,1,2%,0,0%
25,Karnataka,Udupi,60,3.40,14.70,0,0%,3,5%,28,47%,29,48%,0,0%,0,0%
26,Karnataka,Uttara Kannada,69,1.99,17.45,1,1%,9,13%,37,54%,22,32%,0,0%,0,0%
