,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Kerala,ALAPPUZHA,80,0.31,13.10,25,31%,39,49%,8,10%,8,10%,0,0%,0,0%
1,Kerala,ERNAKULAM,126,0.31,15.55,21,17%,43,34%,54,43%,8,6%,0,0%,0,0%
2,Kerala,IDUKKI,63,0.78,11.43,6,10%,32,51%,22,35%,3,5%,0,0%,0,0%
3,Kerala,KANNUR,105,1.85,22.50,1,1%,20,19%,52,50%,30,29%,2,2%,0,0%
4,Kerala,KASARAGOD,119,2.92,25.75,0,0%,5,4%,33,28%,77,65%,4,3%,0,0%
5,Kerala,KOLLAM,110,0.82,20.70,7,6%,16,15%,62,56%,24,22%,1,1%,0,0%
6,Kerala,KOTTAYAM,96,1.00,13.75,6,6%,35,36%,49,51%,6,6%,0,0%,0,0%
7,Kerala,KOZHIKODE,93,1.18,14.99,6,6%,34,37%,47,51%,6,6%,0,0%,0,0%
8,Kerala,MALAPPURAM,124,1.96,38.49,1,1%,28,23%,59,48%,33,27%,3,2%,0,0%
9,Kerala,PALAKKAD,135,1.58,36.70,1,1%,39,29%,67,50%,20,15%,8,6%,0,0%
10,Kerala,PATHANAMTHITTA,90,0.90,16.50,4,4%,39,43%,40,44%,7,8%,0,0%,0,0%
11,Kerala,THIRUVANANTHAPURAM,114,0.84,55.23,4,4%,24,21%,44,39%,34,30%,7,6%,1,1%
12,Kerala,THRISSUR,115,1.28,14.82,4,3%,37,32%,61,53%,13,11%,0,0%,0,0%
13,Kerala,WAYANAD,71,1.24,18.29,2,3%,20,28%,35,49%,14,20%,0,0%,0,0%
