,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Madhya Pradesh,AGAR MALWA,14,1.34,17.70,1,7%,1,7%,3,21%,9,64%,0,0%,0,0%
1,Madhya Pradesh,ALIRAJPUR,13,5.70,11.70,0,0%,0,0%,9,69%,4,31%,0,0%,0,0%
2,Madhya Pradesh,ANUPPUR,22,3.07,30.39,0,0%,6,27%,10,45%,4,18%,2,9%,0,0%
3,Madhya Pradesh,ASHOK NAGAR,21,-0.70,19.40,1,5%,5,24%,9,43%,6,29%,0,0%,0,0%
4,Madhya Pradesh,BALAGHAT,41,2.17,14.60,0,0%,10,24%,27,66%,4,10%,0,0%,0,0%
5,Madhya Pradesh,BARWANI,9,6.10,14.95,0,0%,0,0%,5,56%,4,44%,0,0%,0,0%
6,Madhya Pradesh,BETUL,30,-0.80,19.70,1,3%,4,13%,11,37%,14,47%,0,0%,0,0%
7,Madhya Pradesh,BHIND,19,-0.95,43.76,1,5%,3,16%,6,32%,6,32%,2,11%,1,5%
8,Madhya Pradesh,BHOPAL,27,-0.35,18.90,3,11%,6,22%,10,37%,8,30%,0,0%,0,0%
9,Madhya Pradesh,BURHANPUR,15,7.15,32.35,0,0%,0,0%,5,33%,8,53%,2,13%,0,0%
10,Madhya Pradesh,CHHATARPUR,38,4.05,21.63,0,0%,3,8%,17,45%,17,45%,1,3%,0,0%
11,Madhya Pradesh,CHHINDWARA,33,1.58,21.00,1,3%,0,0%,16,48%,13,39%,3,9%,0,0%
12,Madhya Pradesh,DAMOH,22,2.28,13.83,0,0%,7,32%,12,55%,3,14%,0,0%,0,0%
13,Madhya Pradesh,DATIA,12,3.75,31.10,0,0%,2,17%,3,25%,6,50%,1,8%,0,0%
14,Madhya Pradesh,DEWAS,20,2.92,23.60,0,0%,2,10%,6,30%,9,45%,3,15%,0,0%
15,Madhya Pradesh,DHAR,41,2.25,35.27,0,0%,4,10%,16,39%,16,39%,5,12%,0,0%
16,Madhya Pradesh,DINDORI,16,3.29,10.10,0,0%,7,44%,8,50%,1,6%,0,0%,0,0%
17,Madhya Pradesh,EAST NIMAR,30,3.18,15.50,0,0%,3,10%,21,70%,6,20%,0,0%,0,0%
18,Madhya Pradesh,GUNA,23,2.80,29.00,0,0%,3,13%,6,26%,13,57%,1,4%,0,0%
