,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Maharashtra,Ahmednagar,64,3.67,32.00,0,0%,1,2%,22,34%,35,55%,6,9%,0,0%
1,Maharashtra,Akola,30,4.47,32.90,0,0%,1,3%,9,30%,12,40%,8,27%,0,0%
2,Maharashtra,Amravati,93,1.80,44.10,1,1%,6,6%,42,45%,29,31%,14,15%,1,1%
3,Maharashtra,Aurangabad,40,4.47,23.92,0,0%,1,3%,11,28%,26,65%,2,5%,0,0%
4,Maharashtra,Beed,47,6.15,24.32,0,0%,0,0%,13,28%,30,64%,4,9%,0,0%
5,Maharashtra,Bhandara,40,2.95,19.25,0,0%,5,13%,16,40%,19,48%,0,0%,0,0%
6,Maharashtra,Buldana,58,3.30,23.40,0,0%,2,3%,21,36%,28,48%,7,12%,0,0%
7,Maharashtra,Chandrapur,64,4.00,21.62,0,0%,2,3%,41,64%,19,30%,2,3%,0,0%
8,Maharashtra,Dhule,39,4.80,22.00,0,0%,1,3%,17,44%,20,51%,1,3%,0,0%
9,Maharashtra,Gadchiroli,31,5.40,13.89,0,0%,0,0%,25,81%,6,19%,0,0%,0,0%
10,Maharashtra,Gondia,27,4.35,16.85,0,0%,3,11%,15,56%,9,33%,0,0%,0,0%
11,Maharashtra,Hingoli,31,3.95,20.84,0,0%,1,3%,7,23%,21,68%,2,6%,0,0%
12,Maharashtra,Jalgaon,54,4.00,51.00,0,0%,4,7%,19,35%,19,35%,6,11%,6,11%
13,Maharashtra,Jalna,47,4.10,25.82,0,0%,2,4%,14,30%,28,60%,3,6%,0,0%
14,Maharashtra,Kolhapur,40,0.40,18.00,9,23%,5,13%,20,50%,6,15%,0,0%,0,0%
15,Maharashtra,Latur,41,2.90,21.50,0,0%,2,5%,14,34%,22,54%,3,7%,0,0%
16,Maharashtra,MUMBAI CITY,6,2.80,7.40,0,0%,3,50%,3,50%,0,0%,0,0%,0,0%
17,Maharashtra,MUMBAI SUBURBAN,15,1.80,13.30,1,7%,7,47%,6,40%,1,7%,0,0%,0,0%
18,Maharashtra,Nagpur,88,1.10,30.00,2,2%,9,10%,42,48%,34,39%,1,1%,0,0%
19,Maharashtra,Nanded,59,1.55,31.70,3,5%,5,8%,30,51%,18,31%,3,5%,0,0%
20,Maharashtra,Nandurbar,28,3.70,27.99,0,0%,2,7%,9,32%,14,50%,3,11%,0,0%
21,Maharashtra,Nashik,81,1.40,40.50,2,2%,10,12%,32,40%,26,32%,10,12%,1,1%
22,Maharashtra,Osmanabad,40,5.60,19.99,0,0%,0,0%,15,38%,25,63%,0,0%,0,0%
23,Maharashtra,Parbhani,38,6.70,35.00,0,0%,0,0%,13,34%,21,55%,4,11%,0,0%
24,Maharashtra,Pune,42,0.01,21.00,3,7%,7,17%,22,52%,9,21%,1,2%,0,0%
25,Maharashtra,Raigad,35,0.01,8.90,7,20%,14,40%,14,40%,0,0%,0,0%,0,0%
26,Maharashtra,Ratnagiri,61,1.20,20.30,4,7%,16,26%,27,44%,13,21%,1,2%,0,0%
27,Maharashtra,Sangli,40,1.00,19.00,3,8%,8,20%,18,45%,11,28%,0,0%,0,0%
28,Maharashtra,Satara,48,0.80,21.50,2,4%,12,25%,16,33%,17,35%,1,2%,0,0%
29,Maharashtra,Sindudurg,52,2.60,18.00,0,0%,13,25%,28,54%,11,21%,0,0%,0,0%
30,Maharashtra,Solapur,57,2.10,23.99,0,0%,5,9%,20,35%,30,53%,2,4%,0,0%
31,Maharashtra,Thane,58,1.40,19.00,3,5%,14,24%,39,67%,2,3%,0,0%,0,0%
32,Maharashtra,Wardha,56,3.03,25.68,0,0%,5,9%,33,59%,16,29%,2,4%,0,0%
33,Maharashtra,Washim,41,5.00,24.50,0,0%,1,2%,20,49%,19,46%,1,2%,0,0%
34,Maharashtra,Yavatmal,89,3.00,21.15,0,0%,9,10%,58,65%,21,24%,1,1%,0,0%
