,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Odisha,ANUGUL,57,0.11,13.10,1,2%,18,32%,35,61%,3,5%,0,0%,0,0%
1,Odisha,BALANGIR,61,0.93,8.81,4,7%,28,46%,29,48%,0,0%,0,0%,0,0%
2,Odisha,BALESHWAR,24,1.60,7.84,1,4%,15,63%,8,33%,0,0%,0,0%,0,0%
3,Odisha,BARGARH,50,-0.60,9.30,13,26%,19,38%,18,36%,0,0%,0,0%,0,0%
4,Odisha,BAUDH,47,2.05,7.45,0,0%,20,43%,27,57%,0,0%,0,0%,0,0%
5,Odisha,BHADRAK,15,1.90,6.33,1,7%,12,80%,2,13%,0,0%,0,0%,0,0%
6,Odisha,CUTTACK,60,-0.50,10.97,17,28%,32,53%,10,17%,1,2%,0,0%,0,0%
7,Odisha,DEBAGARH,7,3.78,7.93,0,0%,3,43%,4,57%,0,0%,0,0%,0,0%
8,Odisha,DHENKANAL,40,1.87,10.30,1,3%,15,38%,23,58%,1,3%,0,0%,0,0%
9,Odisha,JAGATSINGHAPUR,11,1.13,4.81,5,45%,6,55%,0,0%,0,0%,0,0%,0,0%
10,Odisha,JAJAPUR,26,0.97,9.07,3,12%,18,69%,5,19%,0,0%,0,0%,0,0%
11,Odisha,JHARSUGUDA,15,-0.50,8.50,1,7%,6,40%,8,53%,0,0%,0,0%,0,0%
12,Odisha,KALAHANDI,28,1.56,9.30,1,4%,14,50%,13,46%,0,0%,0,0%,0,0%
13,Odisha,KANDHAMAL,16,4.65,11.05,0,0%,1,6%,13,81%,2,13%,0,0%,0,0%
14,Odisha,KENDRAPARA,17,1.35,4.48,4,24%,13,76%,0,0%,0,0%,0,0%,0,0%
15,Odisha,KENDUJHAR,60,0.90,10.45,7,12%,29,48%,23,38%,1,2%,0,0%,0,0%
16,Odisha,KHORDHA,52,0.15,12.89,12,23%,17,33%,22,42%,1,2%,0,0%,0,0%
17,Odisha,KORAPUT,53,2.10,10.92,0,0%,15,28%,35,66%,3,6%,0,0%,0,0%
18,Odisha,MALKANGIRI,17,2.90,6.65,0,0%,10,59%,7,41%,0,0%,0,0%,0,0%
19,Odisha,MAYURBHANJ,72,0.70,13.55,11,15%,32,44%,27,38%,2,3%,0,0%,0,0%
20,Odisha,NABARANGAPUR,24,1.40,10.30,1,4%,9,38%,13,54%,1,4%,0,0%,0,0%
21,Odisha,NAYAGARH,33,1.25,8.73,2,6%,18,55%,13,39%,0,0%,0,0%,0,0%
22,Odisha,NUAPADA,17,3.17,9.61,0,0%,7,41%,10,59%,0,0%,0,0%,0,0%
23,Odisha,PURI,68,0.40,7.74,27,40%,36,53%,5,7%,0,0%,0,0%,0,0%
24,Odisha,RAYAGADA,19,1.15,10.82,1,5%,11,58%,5,26%,2,11%,0,0%,0,0%
25,Odisha,SAMBALPUR,67,-0.60,11.60,11,16%,18,27%,37,55%,1,1%,0,0%,0,0%
26,Odisha,SONAPUR,43,0.77,7.60,10,23%,14,33%,19,44%,0,0%,0,0%,0,0%
27,Odisha,SUNDARGARH,68,0.15,13.55,6,9%,31,46%,26,38%,5,7%,0,0%,0,0%
