,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Punjab,AMRITSAR,9,5.79,25.41,0,0%,0,0%,2,22%,5,56%,2,22%,0,0%
1,Punjab,BARNALA,3,30.28,39.62,0,0%,0,0%,0,0%,0,0%,3,100%,0,0%
2,Punjab,BATHINDA,24,2.48,30.23,0,0%,1,4%,6,25%,7,29%,10,42%,0,0%
3,Punjab,FARIDKOT,19,1.40,19.72,1,5%,6,32%,8,42%,4,21%,0,0%,0,0%
4,Punjab,FATEHGARH SAHIB,10,4.87,41.28,0,0%,1,10%,1,10%,2,20%,5,50%,1,10%
5,Punjab,FAZILKA,12,1.26,11.00,1,8%,8,67%,2,17%,1,8%,0,0%,0,0%
6,Punjab,FIROZPUR,5,5.05,18.12,0,0%,0,0%,2,40%,3,60%,0,0%,0,0%
7,Punjab,GURDASPUR,18,2.69,15.62,0,0%,8,44%,4,22%,6,33%,0,0%,0,0%
8,Punjab,HOSHIARPUR,22,1.75,27.78,1,5%,2,9%,8,36%,7,32%,4,18%,0,0%
9,Punjab,JALANDHAR,10,6.80,38.01,0,0%,0,0%,2,20%,3,30%,5,50%,0,0%
10,Punjab,KAPURTHALA,8,8.40,26.75,0,0%,0,0%,2,25%,3,38%,3,38%,0,0%
11,Punjab,LUDHIANA,16,3.79,34.56,0,0%,1,6%,1,6%,10,63%,4,25%,0,0%
12,Punjab,MANSA,10,4.82,18.70,0,0%,1,10%,3,30%,6,60%,0,0%,0,0%
13,Punjab,MOGA,5,17.05,34.38,0,0%,0,0%,0,0%,1,20%,4,80%,0,0%
14,Punjab,MUKTSAR,9,0.70,10.53,1,11%,7,78%,0,0%,1,11%,0,0%,0,0%
15,Punjab,PATHANKOT,11,1.84,9.37,1,9%,5,45%,5,45%,0,0%,0,0%,0,0%
16,Punjab,PATIALA,18,4.71,43.43,0,0%,1,6%,2,11%,1,6%,13,72%,1,6%
17,Punjab,RUPNAGAR,10,3.22,36.45,0,0%,3,30%,3,30%,3,30%,1,10%,0,0%
18,Punjab,SANGRUR,11,24.15,41.36,0,0%,0,0%,0,0%,0,0%,10,91%,1,9%
19,Punjab,SAS NAGAR,9,1.82,15.80,1,11%,1,11%,4,44%,3,33%,0,0%,0,0%
20,Punjab,SBS NAGAR,4,5.45,40.43,0,0%,0,0%,1,25%,2,50%,0,0%,1,25%
21,Punjab,TARAN TARAN,8,13.82,19.68,0,0%,0,0%,0,0%,8,100%,0,0%,0,0%
