,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Rajasthan,AJMER,28,4.00,28.18,0,0%,5,18%,10,36%,11,39%,2,7%,0,0%
1,Rajasthan,ALWAR,27,12.30,91.80,0,0%,0,0%,0,0%,4,15%,12,44%,11,41%
2,Rajasthan,BANSWARA,33,1.50,16.48,1,3%,6,18%,20,61%,6,18%,0,0%,0,0%
3,Rajasthan,BARAN,19,2.64,28.00,0,0%,5,26%,9,47%,4,21%,1,5%,0,0%
4,Rajasthan,BARMER,50,4.10,99.82,0,0%,3,6%,4,8%,11,22%,16,32%,16,32%
5,Rajasthan,BHARATPUR,28,1.84,57.20,1,4%,4,14%,6,21%,11,39%,4,14%,2,7%
6,Rajasthan,BHILWARA,36,3.35,30.78,0,0%,4,11%,6,17%,19,53%,7,19%,0,0%
7,Rajasthan,BIKANER,48,5.10,128.15,0,0%,0,0%,4,8%,16,33%,13,27%,15,31%
8,Rajasthan,BUNDI,7,1.51,13.80,1,14%,2,29%,2,29%,2,29%,0,0%,0,0%
9,Rajasthan,CHITTAURGARH,16,0.75,30.50,1,6%,1,6%,4,25%,7,44%,3,19%,0,0%
10,Rajasthan,CHURU,32,9.92,66.15,0,0%,0,0%,1,3%,5,16%,14,44%,12,38%
11,Rajasthan,DAUSA,14,7.97,56.10,0,0%,0,0%,1,7%,6,43%,4,29%,3,21%
12,Rajasthan,DHAULPUR,13,3.30,37.40,0,0%,2,15%,3,23%,4,31%,4,31%,0,0%
13,Rajasthan,DUNGARPUR,18,2.44,20.60,0,0%,4,22%,6,33%,7,39%,1,6%,0,0%
14,Rajasthan,GANGANAGAR,39,1.43,39.62,1,3%,2,5%,13,33%,18,46%,5,13%,0,0%
15,Rajasthan,HANUMANGARH,38,0.52,48.45,2,5%,2,5%,5,13%,11,29%,15,39%,3,8%
16,Rajasthan,JAIPUR,87,3.68,86.30,0,0%,1,1%,8,9%,21,24%,19,22%,38,44%
17,Rajasthan,JAISALMER,63,4.99,107.26,0,0%,1,2%,10,16%,9,14%,24,38%,19,30%
18,Rajasthan,JALORE,22,1.62,71.85,1,5%,2,9%,3,14%,3,14%,5,23%,8,36%
19,Rajasthan,JHALAWAR,23,2.90,22.97,0,0%,3,13%,11,48%,8,35%,1,4%,0,0%
20,Rajasthan,JODHPUR,41,0.90,115.38,1,2%,2,5%,10,24%,10,24%,8,20%,10,24%
21,Rajasthan,KARAULI,17,2.20,32.64,0,0%,4,24%,3,18%,5,29%,5,29%,0,0%
22,Rajasthan,KOTA,15,1.25,22.76,2,13%,3,20%,5,33%,4,27%,1,7%,0,0%
23,Rajasthan,NAGAUR,21,16.18,108.40,0,0%,0,0%,0,0%,1,5%,10,48%,10,48%
24,Rajasthan,PALI,22,2.18,22.25,0,0%,3,14%,9,41%,8,36%,2,9%,0,0%
25,Rajasthan,PRATAPGARH,15,3.80,16.40,0,0%,4,27%,5,33%,6,40%,0,0%,0,0%
26,Rajasthan,RAJSAMAND,25,4.27,23.15,0,0%,1,4%,10,40%,12,48%,2,8%,0,0%
27,Rajasthan,SAWAI MADHOPUR,16,1.74,23.75,1,6%,0,0%,6,38%,8,50%,1,6%,0,0%
28,Rajasthan,SIKAR,37,6.10,80.89,0,0%,0,0%,1,3%,2,5%,7,19%,27,73%
29,Rajasthan,SIROHI,14,5.83,43.80,0,0%,0,0%,1,7%,8,57%,4,29%,1,7%
30,Rajasthan,TONK,18,2.70,35.20,0,0%,2,11%,8,44%,5,28%,3,17%,0,0%
31,Rajasthan,UDAIPUR,40,1.83,26.05,1,3%,9,23%,17,43%,11,28%,2,5%,0,0%
32,Rajasthan Total,922,0.52,128.15,13,0,75,0,201,0,263,0,195,0,175,0,0
