,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Telangana,ADILABAD,54,1.40,22.50,1,2%,9,17%,31,57%,11,20%,2,4%,0,0%
1,Telangana,HYDERABAD,10,3.19,69.60,0,0%,4,40%,2,20%,3,30%,0,0%,1,10%
2,Telangana,KARIMNAGAR,61,2.20,21.20,0,0%,6,10%,28,46%,26,43%,1,2%,0,0%
3,Telangana,KHAMMAM,51,0.85,16.45,3,6%,11,22%,24,47%,13,25%,0,0%,0,0%
4,Telangana,MAHBUBNAGAR,69,1.80,41.83,1,1%,7,10%,16,23%,27,39%,16,23%,2,3%
5,Telangana,MEDAK,49,2.70,69.50,0,0%,2,4%,11,22%,11,22%,19,39%,6,12%
6,Telangana,NALGONDA,80,2.03,32.20,0,0%,23,29%,30,38%,23,29%,4,5%,0,0%
7,Telangana,NIZAMABAD,36,2.85,27.75,0,0%,4,11%,11,31%,15,42%,6,17%,0,0%
8,Telangana,RANGA REDDY,69,2.08,99.50,0,0%,5,7%,15,22%,34,49%,11,16%,4,6%
9,Telangana,WARANGAL,81,1.15,37.05,2,2%,12,15%,34,42%,26,32%,7,9%,0,0%
10,Telangana Total,560,0.85,99.50,7,0,83,0,202,0,189,0,66,0,13,0,0
