,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Uttar Pradesh,AGRA,8,1.60,44.20,2,25%,1,13%,0,0%,2,25%,2,25%,1,13%
1,Uttar Pradesh,ALIGARH,9,0.29,20.22,1,11%,2,22%,4,44%,1,11%,1,11%,0,0%
2,Uttar Pradesh,ALLAHABAD,19,1.32,20.36,1,5%,3,16%,12,63%,2,11%,1,5%,0,0%
3,Uttar Pradesh,AMBEDKAR NAGAR,4,5.90,8.45,0,0%,0,0%,4,100%,0,0%,0,0%,0,0%
4,Uttar Pradesh,AURAIYA,9,4.02,22.02,0,0%,1,11%,7,78%,0,0%,1,11%,0,0%
5,Uttar Pradesh,AZAMGARH,15,4.00,10.44,0,0%,2,13%,12,80%,1,7%,0,0%,0,0%
6,Uttar Pradesh,BAGHPAT,1,19.55,19.55,0,0%,0,0%,0,0%,1,100%,0,0%,0,0%
7,Uttar Pradesh,BAHRAICH,10,2.14,9.09,0,0%,8,80%,2,20%,0,0%,0,0%,0,0%
8,Uttar Pradesh,BALLIA,13,4.43,10.29,0,0%,4,31%,8,62%,1,8%,0,0%,0,0%
9,Uttar Pradesh,BALRAMPUR,15,1.45,10.00,1,7%,11,73%,3,20%,0,0%,0,0%,0,0%
10,Uttar Pradesh,BANDA,10,2.53,12.88,0,0%,2,20%,7,70%,1,10%,0,0%,0,0%
11,Uttar Pradesh,BARABANKI,19,3.46,11.39,0,0%,3,16%,14,74%,2,11%,0,0%,0,0%
12,Uttar Pradesh,BAREILLY,13,2.18,6.60,0,0%,6,46%,7,54%,0,0%,0,0%,0,0%
13,Uttar Pradesh,BASTI,5,4.30,6.60,0,0%,2,40%,3,60%,0,0%,0,0%,0,0%
14,Uttar Pradesh,BIJNOR,6,3.05,20.77,0,0%,3,50%,0,0%,2,33%,1,17%,0,0%
15,Uttar Pradesh,BUDAUN,5,6.45,18.04,0,0%,0,0%,1,20%,4,80%,0,0%,0,0%
16,Uttar Pradesh,BULANDSHAHR,6,8.12,12.40,0,0%,0,0%,2,33%,4,67%,0,0%,0,0%
17,Uttar Pradesh,CHANDAULI,8,2.58,14.99,0,0%,3,38%,3,38%,2,25%,0,0%,0,0%
18,Uttar Pradesh,CHITRAKOOT,6,9.77,14.27,0,0%,0,0%,1,17%,5,83%,0,0%,0,0%
19,Uttar Pradesh,DEORIA,6,2.74,7.88,0,0%,3,50%,3,50%,0,0%,0,0%,0,0%
20,Uttar Pradesh,ETAH,10,2.55,13.91,0,0%,2,20%,4,40%,4,40%,0,0%,0,0%
21,Uttar Pradesh,ETAWAH,4,6.43,37.60,0,0%,0,0%,2,50%,1,25%,1,25%,0,0%
22,Uttar Pradesh,FAIZABAD,5,4.27,8.76,0,0%,2,40%,3,60%,0,0%,0,0%,0,0%
23,Uttar Pradesh,FARRUKHABAD,2,1.90,14.65,1,50%,0,0%,0,0%,1,50%,0,0%,0,0%
24,Uttar Pradesh,FATEHPUR,11,4.24,30.46,0,0%,3,27%,3,27%,4,36%,1,9%,0,0%
25,Uttar Pradesh,FIROZABAD,4,8.70,25.25,0,0%,0,0%,1,25%,2,50%,1,25%,0,0%
26,Uttar Pradesh,GAUTAM BUDDHA N,GAR 5,6.51,35.69,0,0%,0,0%,1,20%,2,40%,2,40%,0,0%
27,Uttar Pradesh,GHAZIABAD,7,4.22,21.27,0,0%,1,14%,2,29%,3,43%,1,14%,0,0%
28,Uttar Pradesh,GHAZIPUR,11,4.87,13.68,0,0%,1,9%,7,64%,3,27%,0,0%,0,0%
29,Uttar Pradesh,GONDA,3,3.60,6.41,0,0%,2,67%,1,33%,0,0%,0,0%,0,0%
30,Uttar Pradesh,GORAKHPUR,2,3.42,8.36,0,0%,1,50%,1,50%,0,0%,0,0%,0,0%
31,Uttar Pradesh,HAMIRPUR,7,5.66,23.69,0,0%,0,0%,5,71%,1,14%,1,14%,0,0%
32,Uttar Pradesh,HARDOI,12,3.65,7.56,0,0%,7,58%,5,42%,0,0%,0,0%,0,0%
33,Uttar Pradesh,HATHRAS,5,3.75,19.70,0,0%,2,40%,1,20%,2,40%,0,0%,0,0%
34,Uttar Pradesh,JALAUN,17,0.66,25.24,1,6%,5,29%,7,41%,2,12%,2,12%,0,0%
35,Uttar Pradesh,JAUNPUR,17,3.27,12.65,0,0%,3,18%,12,71%,2,12%,0,0%,0,0%
36,Uttar Pradesh,JHANSI,14,3.28,9.60,0,0%,2,14%,12,86%,0.1,0%.1,0.2,0%.2,0.3,0%.3
37,Uttar Pradesh,JYOTIBA PHULE NA,AR7,8.9,17.4,0.0,0%,0.0,0%,1.0,14%,6.0,86%,0.0,0%,0.0,0%
38,Uttar Pradesh,KANNAUJ,5,0.69,25.2,1.0,20%,1.0,20%,1.0,20%,1.0,20%,1.0,20%,0.0,0%
39,Uttar Pradesh,KANPUR DEHAT,3,5.92,19.35,0.0,0%,0.0,0%,2.0,67%,1.0,33%,0.0,0%,0.0,0%
40,Uttar Pradesh,KANPUR NAGAR,9,3.53,14.08,0.0,0%,3.0,33%,4.0,44%,2.0,22%,0.0,0%,0.0,0%
41,Uttar Pradesh,KAUSHAMBI,3,9.24,14.92,0.0,0%,0.0,0%,1.0,33%,2.0,67%,0.0,0%,0.0,0%
42,Uttar Pradesh,KHERI,4,3.54,9.6,0.0,0%,3.0,75%,1.0,25%,0.0,0%,0.0,0%,0.0,0%
43,Uttar Pradesh,KUSHINAGAR,4,2.32,3.78,0.0,0%,4.0,100%,0.0,0%,0.0,0%,0.0,0%,0.0,0%
44,Uttar Pradesh,LALITPUR,8,2.4,9.45,0.0,0%,6.0,75%,2.0,25%,0.0,0%,0.0,0%,0.0,0%
45,Uttar Pradesh,LUCKNOW,23,3.5,40.53,0.0,0%,2.0,9%,7.0,30%,8.0,35%,5.0,22%,1.0,4%
46,Uttar Pradesh,MAHOBA,7,4.64,14.25,0.0,0%,1.0,14%,4.0,57%,2.0,29%,0.0,0%,0.0,0%
47,Uttar Pradesh,MAHRAJGANJ,4,3.85,5.45,0.0,0%,3.0,75%,1.0,25%,0.0,0%,0.0,0%,0.0,0%
48,Uttar Pradesh,MAINPURI,3,4.9,6.8,0.0,0%,1.0,33%,2.0,67%,0.0,0%,0.0,0%,0.0,0%
49,Uttar Pradesh,MATHURA,11,2.29,9.81,0.0,0%,8.0,73%,3.0,27%,0.0,0%,0.0,0%,0.0,0%
50,Uttar Pradesh,MAU,4,4.7,6.76,0.0,0%,1.0,25%,3.0,75%,0.0,0%,0.0,0%,0.0,0%
51,Uttar Pradesh,MEERUT,9,7.44,20.28,0.0,0%,0.0,0%,5.0,56%,3.0,33%,1.0,11%,0.0,0%
52,Uttar Pradesh,MIRZAPUR,10,3.18,16.37,0.0,0%,3.0,30%,6.0,60%,1.0,10%,0.0,0%,0.0,0%
53,Uttar Pradesh,MORADABAD,8,2.3,16.51,0.0,0%,3.0,38%,0.0,0%,5.0,63%,0.0,0%,0.0,0%
54,Uttar Pradesh,MUZAFFARNAGAR,5,6.67,21.22,0.0,0%,0.0,0%,1.0,20%,3.0,60%,1.0,20%,0.0,0%
55,Uttar Pradesh,PILIBHIT,8,3.62,5.76,0.0,0%,7.0,88%,1.0,13%,0.0,0%,0.0,0%,0.0,0%
56,Uttar Pradesh,PRATAPGARH,16,1.82,12.03,1.0,6%,0.0,0%,12.0,75%,3.0,19%,0.0,0%,0.0,0%
57,Uttar Pradesh,RAE BARELI,19,2.72,9.28,0.0,0%,10.0,53%,9.0,47%,0.0,0%,0.0,0%,0.0,0%
58,Uttar Pradesh,RAMPUR,3,4.68,10.1,0.0,0%,1.0,33%,1.0,33%,1.0,33%,0.0,0%,0.0,0%
59,Uttar Pradesh,SAHARANPUR,8,3.45,16.91,0.0,0%,1.0,13%,6.0,75%,1.0,13%,0.0,0%,0.0,0%
60,Uttar Pradesh,SANT KABIR NAGAR,3,4.42,5.92,0.0,0%,1.0,33%,2.0,67%,0.0,0%,0.0,0%,0.0,0%
61,Uttar Pradesh,SANT RAVIDAS NAG,R3,6.88,13.97,0.0,0%,0.0,0%,1.0,33%,2.0,67%,0.0,0%,0.0,0%
62,Uttar Pradesh,SHAHJAHANPUR,1,6.8,6.8,0.0,0%,0.0,0%,1.0,100%,0.0,0%,0.0,0%,0.0,0%
63,Uttar Pradesh,SHRAWASTI,10,3.25,8.57,0.0,0%,8.0,80%,2.0,20%,0.0,0%,0.0,0%,0.0,0%
64,Uttar Pradesh,SIDDHARTHNAGAR,9,3.45,7.43,0.0,0%,6.0,67%,3.0,33%,0.0,0%,0.0,0%,0.0,0%
65,Uttar Pradesh,SITAPUR,10,3.13,13.74,0.0,0%,4.0,40%,4.0,40%,2.0,20%,0.0,0%,0.0,0%
66,Uttar Pradesh,SONBHADRA,12,5.82,15.82,0.0,0%,0.0,0%,7.0,58%,5.0,42%,0.0,0%,0.0,0%
67,Uttar Pradesh,SULTANPUR,18,3.68,14.25,0.0,0%,5.0,28%,9.0,50%,4.0,22%,0.0,0%,0.0,0%
68,Uttar Pradesh,UNNAO,15,2.2,15.9,0.0,0%,7.0,47%,6.0,40%,2.0,13%,0.0,0%,0.0,0%
69,Uttar Pradesh,VARANASI,8,5.23,18.37,0.0,0%,0.0,0%,4.0,50%,4.0,50%,0.0,0%,0.0,0%
70,Uttar Pradesh Total,593,0.29,44.2,9.0,0,174,0,272,0,113,0,23,0,2,0,0
