,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,West Bengal,BANKURA,86,0.85,17.93,5,6%,34,40%,40,47%,7,8%,0,0%,0,0%
1,West Bengal,BARDDHAMAN,78,0.55,36.82,12,15%,21,27%,22,28%,16,21%,7,9%,0,0%
2,West Bengal,BIRBHUM,78,1.39,32.29,3,4%,22,28%,30,38%,17,22%,6,8%,0,0%
3,West Bengal,DARJILING,19,1.27,11.76,1,5%,13,68%,4,21%,1,5%,0,0%,0,0%
4,West Bengal,EAST MEDINIPUR,12,1.35,19.80,1,8%,2,17%,1,8%,8,67%,0,0%,0,0%
5,West Bengal,HAORA,20,0.32,17.67,7,35%,7,35%,1,5%,5,25%,0,0%,0,0%
6,West Bengal,HUGLI,42,0.41,19.23,4,10%,7,17%,5,12%,26,62%,0,0%,0,0%
7,West Bengal,JALPAIGURI,29,0.55,11.53,7,24%,18,62%,3,10%,1,3%,0,0%,0,0%
8,West Bengal,KOCHBIHAR,24,0.73,3.81,11,46%,13,54%,0,0%,0,0%,0,0%,0,0%
9,West Bengal,MALDAH,27,2.54,14.20,0,0%,9,33%,17,63%,1,4%,0,0%,0,0%
10,West Bengal,MURSHIDABAD,38,2.36,25.44,0,0%,7,18%,16,42%,6,16%,9,24%,0,0%
11,West Bengal,NADIA,53,0.93,12.85,1,2%,15,28%,36,68%,1,2%,0,0%,0,0%
12,West Bengal,NORTH 24 PARGANA,36,0.62,12.98,4,11%,9,25%,20,56%,3,8%,0,0%,0,0%
13,West Bengal,NORTH DINAJPUR,14,2.22,6.34,0,0%,11,79%,3,21%,0,0%,0,0%,0,0%
14,West Bengal,PURULIYA,58,2.57,12.03,0,0%,11,19%,45,78%,2,3%,0,0%,0,0%
15,West Bengal,SOUTH  DINAJPUR,11,2.81,18.14,0,0%,1,9%,5,45%,5,45%,0,0%,0,0%
16,West Bengal,SOUTH 24 PARGANA,21,0.80,14.39,3,14%,3,14%,7,33%,8,38%,0,0%,0,0%
17,West Bengal,WEST MEDINIPUR,36,0.70,16.90,5,14%,8,22%,10,28%,13,36%,0,0%,0,0%
18,West Bengal Total,682,0.32,36.82,64,0,211,0,265,0,120,0,22,0,0,0,0
