Lat,Long,Temp_Max,Temp_Min,Year
8.08783,77.53841,29.42,25.18,1997
8.08783,77.53841,29.39,25.32,1998
8.08783,77.53841,28.54,24.52,1999
8.08783,77.53841,29.39,24.83,2000
8.08783,77.53841,28.84,24.84,2001
8.08783,77.53841,29.51,25.1,2002
8.08783,77.53841,29.41,25.21,2003
8.08783,77.53841,29.07,24.91,2004
8.08783,77.53841,29.05,25.15,2005
8.08783,77.53841,28.81,24.85,2006
8.08783,77.53841,29.17,24.93,2007
8.08783,77.53841,29.17,24.95,2008
8.08783,77.53841,29.8,25.1,2009
8.08783,77.53841,29.76,25.27,2010
8.08783,77.53841,29.94,25.12,2011
8.08783,77.53841,30.03,25.37,2012
8.08783,77.53841,29.76,25.24,2013
8.08783,77.53841,29.59,25.32,2014
8.08783,77.53841,29.53,25.44,2015
8.381,77.6132,29.42,25.18,1997
8.381,77.6132,29.39,25.32,1998
8.381,77.6132,28.54,24.52,1999
8.381,77.6132,29.39,24.83,2000
8.381,77.6132,28.84,24.84,2001
8.381,77.6132,29.51,25.1,2002
8.381,77.6132,29.41,25.21,2003
8.381,77.6132,29.07,24.91,2004
8.381,77.6132,29.05,25.15,2005
8.381,77.6132,28.81,24.85,2006
8.381,77.6132,29.17,24.93,2007
8.381,77.6132,29.17,24.95,2008
8.381,77.6132,29.8,25.1,2009
8.381,77.6132,29.76,25.27,2010
8.381,77.6132,29.94,25.12,2011
8.381,77.6132,30.03,25.37,2012
8.381,77.6132,29.76,25.24,2013
8.381,77.6132,29.59,25.32,2014
8.381,77.6132,29.53,25.44,2015
8.56224,76.92684,29.45,24.61,1997
8.56224,76.92684,29.38,24.8,1998
8.56224,76.92684,28.51,24.04,1999
8.56224,76.92684,29.12,24.21,2000
8.56224,76.92684,29.0,24.38,2001
8.56224,76.92684,29.55,24.51,2002
8.56224,76.92684,29.37,24.59,2003
8.56224,76.92684,29.21,24.3,2004
8.56224,76.92684,29.02,24.64,2005
8.56224,76.92684,28.78,24.2,2006
8.56224,76.92684,29.1,24.28,2007
8.56224,76.92684,28.7,24.16,2008
8.56224,76.92684,29.4,24.4,2009
8.56224,76.92684,29.2,24.64,2010
8.56224,76.92684,29.13,24.28,2011
8.56224,76.92684,29.57,24.57,2012
8.56224,76.92684,29.32,24.59,2013
8.56224,76.92684,29.35,24.65,2014
8.56224,76.92684,29.27,24.71,2015
8.80545,77.67275,30.8,23.2,1997
8.80545,77.67275,30.69,23.44,1998
8.80545,77.67275,29.67,22.53,1999
8.80545,77.67275,30.8,22.88,2000
8.80545,77.67275,30.04,22.99,2001
8.80545,77.67275,30.99,23.17,2002
8.80545,77.67275,30.66,23.16,2003
8.80545,77.67275,30.21,22.87,2004
8.80545,77.67275,30.12,23.2,2005
8.80545,77.67275,29.9,22.83,2006
8.80545,77.67275,30.57,22.96,2007
